curve,delta,x,radius
plugin,0.05,190,1.6158311492991833
plugin,0.05,203,1.6158311492991833
plugin,0.05,218,1.6158311492991833
plugin,0.05,233,1.6158311492991833
plugin,0.05,249,1.6158311492991833
plugin,0.05,266,1.6158311492991833
plugin,0.05,285,1.6158311492991833
plugin,0.05,305,1.6158311492991833
plugin,0.05,326,1.6158311492991833
plugin,0.05,348,1.6158311492991833
plugin,0.05,373,1.6158311492991833
plugin,0.05,399,1.6158311492991833
plugin,0.05,426,1.6158311492991833
plugin,0.05,456,1.6158311492991833
plugin,0.05,488,1.6158311492991833
plugin,0.05,522,1.6158311492991833
plugin,0.05,558,1.6158311492991833
plugin,0.05,597,1.6158311492991833
plugin,0.05,638,1.6158311492991833
plugin,0.05,683,1.6158311492991833
plugin,0.05,730,1.6158311492991833
plugin,0.05,781,1.6158311492991833
plugin,0.05,836,1.6158311492991833
plugin,0.05,894,1.6158311492991833
plugin,0.05,956,1.6158311492991833
plugin,0.05,1022,1.6158311492991833
plugin,0.05,1094,1.6158311492991833
plugin,0.05,1170,1.6158311492991833
plugin,0.05,1251,1.6158311492991833
plugin,0.05,1338,1.6158311492991833
plugin,0.05,1431,1.6158311492991833
plugin,0.05,1531,1.6158311492991833
plugin,0.05,1637,1.6158311492991833
plugin,0.05,1751,1.6158311492991833
plugin,0.05,1873,1.6158311492991833
plugin,0.05,2004,1.6158311492991833
plugin,0.05,2143,1.6158311492991833
plugin,0.05,2292,1.6158311492991833
plugin,0.05,2452,1.6158311492991833
plugin,0.05,2622,1.6158311492991833
plugin,0.05,2805,1.6158311492991833
plugin,0.05,3000,1.6158311492991833
cs,0.05,5,inf
cs,0.05,10,inf
cs,0.05,20,inf
cs,0.05,50,inf
cs,0.05,100,1.862911745676427
cs,0.05,150,1.7668480200914851
cs,0.05,200,1.725246165298279
cs,0.05,250,1.862911745676427
cs,0.05,300,1.8497694601809844
cs,0.05,350,1.8005233923250377
cs,0.05,400,1.7865272136876866
cs,0.05,450,1.7668480200914851
cs,0.05,500,1.7668480200914851
cs,0.05,550,1.7865272136876866
cs,0.05,600,1.7657632282260165
cs,0.05,650,1.7648715928064322
cs,0.05,700,1.755538697017185
cs,0.05,750,1.7274875253458668
cs,0.05,800,1.725246165298279
cs,0.05,850,1.725246165298279
cs,0.05,900,1.725246165298279
cs,0.05,950,1.725246165298279
cs,0.05,1000,1.7212391662908317
cs,0.05,1050,1.7052001934818974
cs,0.05,1100,1.701149455976109
cs,0.05,1150,1.6799950026095192
cs,0.05,1200,1.6641529882731443
cs,0.05,1250,1.6830645011512073
cs,0.05,1300,1.6799950026095192
cs,0.05,1350,1.6641529882731443
cs,0.05,1400,1.6593348573201225
cs,0.05,1450,1.6593348573201225
cs,0.05,1500,1.6593348573201225
cs,0.05,1550,1.6546096884970336
cs,0.05,1600,1.65163819729633
cs,0.05,1650,1.65163819729633
cs,0.05,1700,1.65163819729633
cs,0.05,1750,1.6578125601882239
cs,0.05,1800,1.6546096884970336
cs,0.05,1850,1.6578125601882239
cs,0.05,1900,1.6830645011512073
cs,0.05,1950,1.701149455976109
cs,0.05,2000,1.701149455976109
cs,0.05,2050,1.7212391662908317
split_q,0.05,2094,1.6158311492991833
union,0.1,1,1.3418214429884598
gauss,0.1,1,1.1585168928958707
union,0.1,2,1.6158311492991833
gauss,0.1,2,1.3214356695941936
union,0.1,3,1.7360047229431246
gauss,0.1,3,1.4080252547788334
union,0.1,4,1.8305786851595638
gauss,0.1,4,1.466363892976981
union,0.1,5,1.8962526967508655
gauss,0.1,5,1.5100635564437186
union,0.1,6,1.935556458296628
gauss,0.1,6,1.5448514348783675
union,0.1,7,1.9746044496685802
gauss,0.1,7,1.573664307324702
union,0.1,8,2.0113851789881694
gauss,0.1,8,1.59820333636786
union,0.1,9,2.0368182230611347
gauss,0.1,9,1.6195397016019382
union,0.1,10,2.072113631910758
gauss,0.1,10,1.6383903021716786
union,0.1,11,2.072668647361882
gauss,0.1,11,1.6552578186326656
union,0.1,12,2.0850178536107213
gauss,0.1,12,1.670507944787005
union,0.1,13,2.093355407929712
gauss,0.1,13,1.6844147798246742
union,0.1,14,2.1195372864202917
gauss,0.1,14,1.697188908135593
union,0.1,15,2.1389483201267514
gauss,0.1,15,1.7089955153450076
union,0.1,16,2.1389483201267514
gauss,0.1,16,1.7199664944783406
union,0.1,17,2.1442047250716905
gauss,0.1,17,1.7302087813759783
union,0.1,18,2.156600053196869
gauss,0.1,18,1.7398102433356482
union,0.1,19,2.156600053196869
gauss,0.1,19,1.748843933313143
union,0.1,21,2.1907302465376826
gauss,0.1,21,1.7654441591615497
union,0.1,22,2.1907302465376826
gauss,0.1,22,1.7731072398180894
union,0.1,24,2.2631487646439266
gauss,0.1,24,1.787352128526233
union,0.1,25,2.2631487646439266
gauss,0.1,25,1.793996236861661
union,0.1,27,2.272978232542918
gauss,0.1,27,1.8064558040635235
union,0.1,29,2.272978232542918
gauss,0.1,29,1.817948162727345
union,0.1,31,2.3240788607323712
gauss,0.1,31,1.8286086177179628
union,0.1,33,2.3240788607323712
gauss,0.1,33,1.8385462118517628
union,0.1,35,2.3263735537680423
gauss,0.1,35,1.8478500765814536
union,0.1,38,2.3263735537680423
gauss,0.1,38,1.860775628827113
union,0.1,40,2.3263735537680423
gauss,0.1,40,1.8687922457436807
union,0.1,43,2.3523383296305624
gauss,0.1,43,1.8800371501182556
union,0.1,46,2.3523383296305624
gauss,0.1,46,1.8904631061195039
union,0.1,50,2.3523383296305624
gauss,0.1,50,1.903274372134652
union,0.1,53,2.3722851655665242
gauss,0.1,53,1.9121762185928217
union,0.1,57,2.3722851655665242
gauss,0.1,57,1.9232339509420275
union,0.1,61,2.3722851655665242
gauss,0.1,61,1.9334844623374408
union,0.1,65,2.3722851655665242
gauss,0.1,65,1.9430346635781246
union,0.1,69,2.3722851655665242
gauss,0.1,69,1.9519717325868595
union,0.1,74,2.385636299510587
gauss,0.1,74,1.962389369216618
union,0.1,79,2.385636299510587
gauss,0.1,79,1.9720758625895107
union,0.1,85,2.385636299510587
gauss,0.1,85,1.9828648417188945
union,0.1,91,2.385636299510587
gauss,0.1,91,1.9928650510043167
union,0.1,97,2.385636299510587
gauss,0.1,97,2.0021812370102556
union,0.1,104,2.385636299510587
gauss,0.1,104,2.0122986020330242
union,0.1,111,2.5939134299394038
gauss,0.1,111,2.021710890714481
union,0.1,119,2.5939134299394038
gauss,0.1,119,2.031718579964553
union,0.1,127,2.5939134299394038
gauss,0.1,127,2.0410305044015185
union,0.1,136,2.5939134299394038
gauss,0.1,136,2.050783981896388
union,0.1,145,2.5939134299394038
gauss,0.1,145,2.0598704026559727
union,0.1,155,2.5939134299394038
gauss,0.1,155,2.0692849079251383
union,0.1,166,2.5939134299394038
gauss,0.1,166,2.0789191304658856
union,0.1,178,2.5939134299394038
gauss,0.1,178,2.0886809790008054
union,0.1,190,2.5939134299394038
gauss,0.1,190,2.097764642234988
union,0.1,203,2.5939134299394038
gauss,0.1,203,2.106939363955774
union,0.1,209,2.5939134299394038
gauss,0.1,209,2.110964745822548
union,0.1,210,inf
gauss,0.1,210,2.1116236573411307
union,0.1,218,inf
gauss,0.1,218,2.1167776008988257
union,0.1,233,inf
gauss,0.1,233,2.1259198261876273
union,0.1,249,inf
gauss,0.1,249,2.1350053021564555
union,0.1,266,inf
gauss,0.1,266,2.1440018427836227
union,0.1,285,inf
gauss,0.1,285,2.1533600217869817
union,0.1,305,inf
gauss,0.1,305,2.1625199928496968
union,0.1,326,inf
gauss,0.1,326,2.171475309883209
union,0.1,348,inf
gauss,0.1,348,2.18022267780957
union,0.1,373,inf
gauss,0.1,373,2.189477036735979
union,0.1,399,inf
gauss,0.1,399,2.1984282547035083
union,0.1,426,inf
gauss,0.1,426,2.2070916239464333
union,0.1,456,inf
gauss,0.1,456,2.216059869071307
union,0.1,488,inf
gauss,0.1,488,2.224961725368003
union,0.1,522,inf
gauss,0.1,522,2.2337667322382333
union,0.1,558,inf
gauss,0.1,558,2.242451285643223
union,0.1,597,inf
gauss,0.1,597,2.2512145524408087
union,0.1,638,inf
gauss,0.1,638,2.259797206639116
union,0.1,683,inf
gauss,0.1,683,2.268570348437998
union,0.1,730,inf
gauss,0.1,730,2.277104034580915
union,0.1,781,inf
gauss,0.1,781,2.2857309392825145
union,0.1,836,inf
gauss,0.1,836,2.2943918221627184
union,0.1,894,inf
gauss,0.1,894,2.3028965806201414
union,0.1,956,inf
gauss,0.1,956,2.3113668903945523
union,0.1,1022,inf
gauss,0.1,1022,2.319769426463105
union,0.1,1094,inf
gauss,0.1,1094,2.3283069187008896
union,0.1,1170,inf
gauss,0.1,1170,2.336698952701589
union,0.1,1251,inf
gauss,0.1,1251,2.345033170463824
union,0.1,1338,inf
gauss,0.1,1338,2.3533741898857294
union,0.1,1431,inf
gauss,0.1,1431,2.3616814077816746
union,0.1,1531,inf
gauss,0.1,1531,2.370002557756345
union,0.1,1637,inf
gauss,0.1,1637,2.378220645320453
union,0.1,1751,inf
gauss,0.1,1751,2.386456544077271
union,0.1,1873,inf
gauss,0.1,1873,2.3946680870042307
union,0.1,2004,inf
gauss,0.1,2004,2.4028818166086783
union,0.1,2143,inf
gauss,0.1,2143,2.4110020203390876
union,0.1,2292,inf
gauss,0.1,2292,2.4191138276204556
union,0.1,2452,inf
gauss,0.1,2452,2.4272298809162023
union,0.1,2622,inf
gauss,0.1,2622,2.43526552854714
union,0.1,2805,inf
gauss,0.1,2805,2.4433263724918666
union,0.1,3000,inf
gauss,0.1,3000,2.451330106589136
auc,0.1,1,1.6158311492991833
auc,0.1,2,1.935556458296628
auc,0.1,3,2.0850178536107213
auc,0.1,4,2.1655953243567683
auc,0.1,5,2.3240788607323712
