delta,n,method,horizon
0.1,66,cs,-1
0.1,76,union_anyalloc,7
0.1,76,auc,2
0.1,76,optimal,8
0.1,76,aucb_lam0.05,8
0.1,76,aucb_lam0.01,8
0.1,76,cs,-1
0.1,88,union_anyalloc,8
0.1,88,auc,2
0.1,88,optimal,9
0.1,88,aucb_lam0.05,9
0.1,88,aucb_lam0.01,9
0.1,88,cs,-1
0.1,101,union_anyalloc,10
0.1,101,auc,2
0.1,101,optimal,10
0.1,101,aucb_lam0.05,10
0.1,101,aucb_lam0.01,10
0.1,101,cs,-1
0.1,116,union_anyalloc,11
0.1,116,auc,2
0.1,116,optimal,12
0.1,116,aucb_lam0.05,12
0.1,116,aucb_lam0.01,12
0.1,116,cs,-1
0.1,134,union_anyalloc,13
0.1,134,auc,3
0.1,134,optimal,14
0.1,134,aucb_lam0.05,14
0.1,134,aucb_lam0.01,14
0.1,134,cs,-1
0.1,154,union_anyalloc,15
0.1,154,auc,3
0.1,154,optimal,16
0.1,154,aucb_lam0.05,16
0.1,154,aucb_lam0.01,16
0.1,154,cs,-1
0.1,177,union_anyalloc,17
0.1,177,auc,3
0.1,177,optimal,18
0.1,177,aucb_lam0.05,18
0.1,177,aucb_lam0.01,18
0.1,177,cs,-1
0.1,204,union_anyalloc,20
0.1,204,auc,4
0.1,204,optimal,21
0.1,204,aucb_lam0.05,21
0.1,204,aucb_lam0.01,21
0.1,204,cs,-1
0.1,235,union_anyalloc,23
0.1,235,auc,4
0.1,235,optimal,24
0.1,235,aucb_lam0.05,24
0.1,235,aucb_lam0.01,24
0.1,235,cs,-1
0.1,270,union_anyalloc,27
0.1,270,auc,4
0.1,270,optimal,28
0.1,270,aucb_lam0.05,27
0.1,270,aucb_lam0.01,28
0.1,270,cs,-1
0.1,311,union_anyalloc,31
0.1,311,auc,5
0.1,311,optimal,32
0.1,311,aucb_lam0.05,29
0.1,311,aucb_lam0.01,32
0.1,311,cs,-1
0.1,358,union_anyalloc,35
0.1,358,auc,5
0.1,358,optimal,37
0.1,358,aucb_lam0.05,32
0.1,358,aucb_lam0.01,37
0.1,358,cs,-1
0.1,412,union_anyalloc,41
0.1,412,auc,5
0.1,412,optimal,43
0.1,412,aucb_lam0.05,35
0.1,412,aucb_lam0.01,43
0.1,412,cs,-1
0.1,474,union_anyalloc,47
0.1,474,auc,6
0.1,474,optimal,49
0.1,474,aucb_lam0.05,37
0.1,474,aucb_lam0.01,49
0.1,474,cs,-1
0.1,546,union_anyalloc,54
0.1,546,auc,6
0.1,546,optimal,57
0.1,546,aucb_lam0.05,40
0.1,546,aucb_lam0.01,57
0.1,546,cs,-1
0.1,628,union_anyalloc,62
0.1,628,auc,7
0.1,628,optimal,66
0.1,628,aucb_lam0.05,43
0.1,628,aucb_lam0.01,66
0.1,628,cs,-1
0.1,723,union_anyalloc,72
0.1,723,auc,8
0.1,723,optimal,76
